,y_true,y_pred
6,2.523,4.89981931943626
13,5.117,6.129748664417775
20,4.887,6.294422408922308
31,5.929,6.262389010776076
38,5.283,6.257033819701458
45,7.183,6.21811028958058
52,7.268,4.395920012485835
59,5.171,6.257033819701458
66,6.647,6.262389010776076
73,5.025,6.208299675387554
80,5.534,4.940954852537522
87,6.834,4.395920012485835
97,5.045,4.6573611834271835
109,5.716,4.6573611834271835
116,5.813,6.129748664417775
123,3.467,6.294422408922308
130,6.33,6.262389010776076
137,5.266,6.165335436416966
144,4.834,6.294422408922308
151,3.775,6.294422408922308
158,4.83,6.257033819701458
165,5.142,6.257033819701458
172,7.103,6.257033819701458
184,4.355,6.257033819701458
191,6.172,6.257033819701458
198,5.339,6.257033819701458
205,6.012,6.242011141287456
210,4.289,6.294422408922308
217,7.069,6.262389010776076
224,5.882,6.165335436416966
231,6.223,6.262389010776076
238,6.965,4.6573611834271835
245,7.62,6.211361717597827
253,5.545,6.262389010776076
260,5.764,6.242011141287456
267,4.283,5.603234959549999
274,6.061,4.6573611834271835
281,6.189,6.165335436416966
288,4.275,4.1914180332530115
295,7.842,4.395920012485835
302,6.69,4.395920012485835
309,4.852,6.257033819701458
312,5.051,5.120536154118374
319,4.891,6.257033819701458
326,7.155,4.395920012485835
333,5.088,6.257033819701458
340,5.723,6.165335436416966
347,6.435,4.6573611834271835
354,4.984,6.257033819701458
361,3.615,6.21811028958058
368,5.919,6.21811028958058
379,5.992,6.165335436416966
386,7.554,4.395920012485835
393,3.819,6.257033819701458
400,5.345,6.262389010776076
407,4.721,6.257033819701458
414,4.854,6.242011141287456
421,7.085,6.00636738287206
428,7.157,6.262389010776076
435,6.483,6.00636738287206
442,6.309,6.242011141287456
449,5.94,6.262389010776076
456,4.395,6.262389010776076
463,6.152,6.21811028958058
470,4.607,6.294422408922308
477,6.106,6.262389010776076
484,5.744,6.21811028958058
491,6.032,6.165335436416966
498,4.584,6.262389010776076
504,3.512,6.257033819701458
511,4.625,6.257033819701458
518,6.255,6.165335436416966
525,7.324,6.00636738287206
532,4.208,6.257033819701458
539,3.6,6.294422408922308
546,5.384,6.262389010776076
548,5.198,6.257033819701458
555,4.723,6.257033819701458
562,6.602,6.00636738287206
569,4.227,6.2242373739540255
576,6.049,6.294422408922308
583,6.317,6.262389010776076
590,5.677,6.257033819701458
597,5.581,6.165335436416966
604,4.918,6.242011141287456
610,4.794,6.294422408922308
617,4.426,6.242011141287456
623,4.574,6.294422408922308
630,5.269,4.6573611834271835
637,7.464,4.395920012485835
644,7.277,6.21811028958058
651,5.972,6.242011141287456
658,5.074,6.294422408922308
665,4.759,6.257033819701458
672,7.392,6.00636738287206
680,4.934,6.257033819701458
687,6.18,6.257033819701458
694,5.653,6.242011141287456
701,5.84,6.242011141287456
708,5.88,6.262389010776076
715,6.166,6.129748664417775
722,5.929,6.165335436416966
735,6.14,6.165335436416966
742,5.477,6.00636738287206
749,3.415,6.294422408922308
756,6.494,6.21811028958058
763,5.132,4.6573611834271835
770,6.078,5.167452575042707
777,3.849,6.257033819701458
784,6.377,6.262389010776076
791,6.331,6.165335436416966
798,6.461,6.165335436416966
809,4.956,4.741625778414066
816,5.845,6.262389010776076
823,6.491,6.165335436416966
830,4.325,4.6573611834271835
840,4.308,6.294422408922308
847,7.363,4.395920012485835
854,7.571,6.00636738287206
865,5.466,4.6573611834271835
872,5.985,6.262389010776076
879,4.107,6.294422408922308
890,4.596,6.348430447935988
897,4.948,6.257033819701458
904,5.066,6.262389010776076
911,4.636,6.294422408922308
918,4.875,6.129748664417775
925,6.561,6.21811028958058
932,7.064,4.395920012485835
939,6.951,6.257033819701458
946,6.431,6.262389010776076
953,6.179,6.190635365960746
960,4.892,6.242011141287456
967,5.411,6.262389010776076
974,3.658,6.262389010776076
981,4.073,6.257033819701458
988,3.145,6.2242373739540255
