,y_true,y_pred
6,2.523,4.823397281496249
13,5.117,6.096232780725478
20,4.887,6.215981609058372
31,5.929,6.245165286127945
38,5.283,6.2378731232144515
45,7.183,6.243799165640219
52,7.268,4.552871630496856
59,5.171,6.204667563370158
66,6.647,6.243799165640219
73,5.025,6.152940337603605
80,5.534,4.773837812631479
87,6.834,4.552871630496856
97,5.045,4.765001389926842
109,5.716,4.765001389926842
116,5.813,6.096232780725478
123,3.467,6.243799165640219
130,6.33,6.215981609058372
137,5.266,6.151762422089676
144,4.834,6.215981609058372
151,3.775,6.215981609058372
158,4.83,6.204667563370158
165,5.142,6.160617680535913
172,7.103,6.245165286127945
184,4.355,6.204667563370158
191,6.172,6.243799165640219
198,5.339,6.2378731232144515
205,6.012,6.160617680535913
210,4.289,6.243799165640219
217,7.069,6.215981609058372
224,5.882,6.151762422089676
231,6.223,6.215981609058372
238,6.965,4.765001389926842
245,7.62,6.152940337603605
253,5.545,6.215981609058372
260,5.764,6.160617680535913
267,4.283,5.402764759786787
274,6.061,4.765001389926842
281,6.189,6.152940337603605
288,4.275,4.410682615443114
295,7.842,4.552871630496856
302,6.69,4.552871630496856
309,4.852,6.204667563370158
312,5.051,4.823397281496249
319,4.891,6.204667563370158
326,7.155,4.552871630496856
333,5.088,6.2378731232144515
340,5.723,6.151762422089676
347,6.435,4.765001389926842
354,4.984,6.204667563370158
361,3.615,6.160617680535913
368,5.919,6.160617680535913
379,5.992,6.151762422089676
386,7.554,4.552871630496856
393,3.819,6.204667563370158
400,5.345,6.215981609058372
407,4.721,6.204667563370158
414,4.854,6.215981609058372
421,7.085,6.151762422089676
428,7.157,6.243799165640219
435,6.483,6.151762422089676
442,6.309,6.160617680535913
449,5.94,6.243799165640219
456,4.395,6.243799165640219
463,6.152,6.243799165640219
470,4.607,6.215981609058372
477,6.106,6.243799165640219
484,5.744,6.152940337603605
491,6.032,6.151762422089676
498,4.584,6.243799165640219
504,3.512,6.204667563370158
511,4.625,6.204667563370158
518,6.255,6.151762422089676
525,7.324,6.151762422089676
532,4.208,6.204667563370158
539,3.6,6.215981609058372
546,5.384,6.243799165640219
548,5.198,6.204667563370158
555,4.723,6.160617680535913
562,6.602,6.151762422089676
569,4.227,6.152940337603605
576,6.049,6.243799165640219
583,6.317,6.215981609058372
590,5.677,6.2378731232144515
597,5.581,6.151762422089676
604,4.918,6.215981609058372
610,4.794,6.215981609058372
617,4.426,6.204667563370158
623,4.574,6.243799165640219
630,5.269,4.765001389926842
637,7.464,4.552871630496856
644,7.277,6.243799165640219
651,5.972,6.204667563370158
658,5.074,6.215981609058372
665,4.759,6.204667563370158
672,7.392,6.151762422089676
680,4.934,6.204667563370158
687,6.18,6.245165286127945
694,5.653,6.160617680535913
701,5.84,6.160617680535913
708,5.88,6.243799165640219
715,6.166,6.152940337603605
722,5.929,6.152940337603605
735,6.14,6.151762422089676
742,5.477,6.151762422089676
749,3.415,6.215981609058372
756,6.494,6.215981609058372
763,5.132,4.765001389926842
770,6.078,4.7958783979920625
777,3.849,6.204667563370158
784,6.377,6.243799165640219
791,6.331,6.151762422089676
798,6.461,6.151762422089676
809,4.956,4.773837812631479
816,5.845,6.215981609058372
823,6.491,6.152940337603605
830,4.325,4.765001389926842
840,4.308,6.215981609058372
847,7.363,4.552871630496856
854,7.571,6.151762422089676
865,5.466,4.765001389926842
872,5.985,6.243799165640219
879,4.107,6.215981609058372
890,4.596,6.259994379870359
897,4.948,6.215981609058372
904,5.066,6.243799165640219
911,4.636,6.215981609058372
918,4.875,6.096232780725478
925,6.561,6.215981609058372
932,7.064,4.552871630496856
939,6.951,6.245165286127945
946,6.431,6.245165286127945
953,6.179,6.160617680535913
960,4.892,6.160617680535913
967,5.411,6.215981609058372
974,3.658,6.215981609058372
981,4.073,6.204667563370158
988,3.145,6.160617680535913
