,y_true,y_pred
6,2.523,4.027034249397348
13,5.117,5.364917643147057
20,4.887,5.666699978121267
31,5.929,6.424223690913457
38,5.283,5.727931522061547
45,7.183,6.728116128776991
52,7.268,6.666582552812354
59,5.171,5.7962020379305095
66,6.647,6.196616350082161
73,5.025,5.395628852306893
80,5.534,6.563728248155737
87,6.834,6.609130176649657
97,5.045,5.120789779282455
109,5.716,5.577339093182677
116,5.813,6.1194680601748335
123,3.467,4.870389579169598
130,6.33,6.379792591941937
137,5.266,6.003667521661145
144,4.834,5.364917643147057
151,3.775,5.1020833457559895
158,4.83,5.364917643147057
165,5.142,5.3719099238600645
172,7.103,6.693078551624257
184,4.355,5.1020833457559895
191,6.172,6.196616350082161
198,5.339,5.484243078505753
205,6.012,6.1060424028841185
210,4.289,5.120789779282455
217,7.069,6.382165603232437
224,5.882,6.519199999887359
231,6.223,5.58197359024629
238,6.965,6.563728248155737
245,7.62,6.728116128776991
253,5.545,6.192624230133495
260,5.764,5.601676827451219
267,4.283,5.019287230800001
274,6.061,5.463590336921849
281,6.189,6.438849598998904
288,4.275,5.463590336921849
295,7.842,6.768256465229401
302,6.69,6.728797261556665
309,4.852,5.7962020379305095
312,5.051,5.395628852306893
319,4.891,5.463590336921849
326,7.155,6.666582552812354
333,5.088,5.484243078505753
340,5.723,5.847213968532461
347,6.435,5.577339093182677
354,4.984,5.1644788960175445
361,3.615,4.027034249397348
368,5.919,5.577339093182677
379,5.992,6.563728248155737
386,7.554,6.626901639757687
393,3.819,4.212350765448514
400,5.345,5.547735183952279
407,4.721,5.264451053708468
414,4.854,5.601676827451219
421,7.085,6.768256465229401
428,7.157,6.519199999887359
435,6.483,6.196616350082161
442,6.309,6.0641271150988505
449,5.94,6.0641271150988505
456,4.395,4.882221530357143
463,6.152,6.588950108287951
470,4.607,5.264451053708468
477,6.106,6.1060424028841185
484,5.744,6.273705226359303
491,6.032,6.563728248155737
498,4.584,5.601676827451219
504,3.512,5.3719099238600645
511,4.625,5.58197359024629
518,6.255,6.563728248155737
525,7.324,6.693078551624257
532,4.208,5.3719099238600645
539,3.6,4.553854689546264
546,5.384,5.4911304379311625
548,5.198,5.454660916948762
555,4.723,5.58197359024629
562,6.602,6.519199999887359
569,4.227,5.484243078505753
576,6.049,6.502999988128362
583,6.317,6.196616350082161
590,5.677,6.519199999887359
597,5.581,6.0641271150988505
604,4.918,5.019287230800001
610,4.794,5.601676827451219
617,4.426,4.263377992484958
623,4.574,5.601676827451219
630,5.269,5.83233025057701
637,7.464,6.728116128776991
644,7.277,6.728116128776991
651,5.972,6.0641271150988505
658,5.074,5.120789779282455
665,4.759,5.463590336921849
672,7.392,6.768256465229401
680,4.934,5.120789779282455
687,6.18,6.196616350082161
694,5.653,6.067396104334681
701,5.84,6.0641271150988505
708,5.88,6.067396104334681
715,6.166,6.424223690913457
722,5.929,6.1060424028841185
735,6.14,6.196616350082161
742,5.477,6.196616350082161
749,3.415,3.860945704804381
756,6.494,6.424223690913457
763,5.132,5.3719099238600645
770,6.078,6.379792591941937
777,3.849,5.120789779282455
784,6.377,5.460380396878311
791,6.331,6.563728248155737
798,6.461,6.563728248155737
809,4.956,6.067396104334681
816,5.845,5.608616396732067
823,6.491,6.563728248155737
830,4.325,4.901249861375365
840,4.308,5.666699978121267
847,7.363,6.666582552812354
854,7.571,6.728116128776991
865,5.466,6.379792591941937
872,5.985,6.382165603232437
879,4.107,4.790393476732547
890,4.596,5.273149453741499
897,4.948,5.495329567309641
904,5.066,5.454833886654927
911,4.636,5.847213968532461
918,4.875,5.666699978121267
925,6.561,6.382165603232437
932,7.064,6.716348146144599
939,6.951,6.625052099287207
946,6.431,6.588950108287951
953,6.179,6.666582552812354
960,4.892,5.727931522061547
967,5.411,5.847213968532461
974,3.658,5.601676827451219
981,4.073,5.019287230800001
988,3.145,4.212350765448514
