,y_true,y_pred
6,2.523,4.446179794727273
13,5.117,5.205279502161952
20,4.887,5.62123424214347
31,5.929,4.524089268285714
38,5.283,5.205279502161952
45,7.183,5.122643824018521
52,7.268,6.002217099427069
59,5.171,5.368849010980391
66,6.647,6.183083825703208
73,5.025,4.524089268285714
80,5.534,4.6198064557935465
87,6.834,6.002217099427069
97,5.045,4.524089268285714
109,5.716,4.340244433871796
116,5.813,5.368849010980391
123,3.467,4.446179794727273
130,6.33,5.368849010980391
137,5.266,5.989763858255384
144,4.834,4.446179794727273
151,3.775,5.62123424214347
158,4.83,4.524089268285714
165,5.142,4.524089268285714
172,7.103,6.002217099427069
184,4.355,3.883260586075755
191,6.172,5.989763858255384
198,5.339,5.205279502161952
205,6.012,5.368849010980391
210,4.289,4.524089268285714
217,7.069,4.6198064557935465
224,5.882,5.989763858255384
231,6.223,6.169098187488094
238,6.965,4.446179794727273
245,7.62,6.002217099427069
253,5.545,4.340244433871796
260,5.764,5.62123424214347
267,4.283,5.55052163586667
274,6.061,5.989763858255384
281,6.189,4.6198064557935465
288,4.275,4.446179794727273
295,7.842,6.002217099427069
302,6.69,6.002217099427069
309,4.852,5.368849010980391
312,5.051,4.355737477589285
319,4.891,5.368849010980391
326,7.155,6.002217099427069
333,5.088,5.368849010980391
340,5.723,5.989763858255384
347,6.435,5.989763858255384
354,4.984,4.446179794727273
361,3.615,3.883260586075755
368,5.919,5.205279502161952
379,5.992,5.437173273188382
386,7.554,6.002217099427069
393,3.819,5.62123424214347
400,5.345,5.989763858255384
407,4.721,5.368849010980391
414,4.854,5.62123424214347
421,7.085,6.169098187488094
428,7.157,6.169098187488094
435,6.483,6.002217099427069
442,6.309,5.62123424214347
449,5.94,5.62123424214347
456,4.395,5.62123424214347
463,6.152,5.989763858255384
470,4.607,4.524089268285714
477,6.106,5.122643824018521
484,5.744,5.205279502161952
491,6.032,5.368849010980391
498,4.584,4.355737477589285
504,3.512,4.355737477589285
511,4.625,5.368849010980391
518,6.255,4.6198064557935465
525,7.324,6.002217099427069
532,4.208,3.883260586075755
539,3.6,5.62123424214347
546,5.384,5.989763858255384
548,5.198,4.709684053057322
555,4.723,4.446179794727273
562,6.602,6.183083825703208
569,4.227,5.205279502161952
576,6.049,5.989763858255384
583,6.317,4.6198064557935465
590,5.677,5.55052163586667
597,5.581,4.524089268285714
604,4.918,4.524089268285714
610,4.794,5.62123424214347
617,4.426,5.205279502161952
623,4.574,5.62123424214347
630,5.269,4.524089268285714
637,7.464,6.002217099427069
644,7.277,6.183083825703208
651,5.972,5.368849010980391
658,5.074,5.62123424214347
665,4.759,4.340244433871796
672,7.392,6.169098187488094
680,4.934,4.524089268285714
687,6.18,5.437173273188382
694,5.653,5.368849010980391
701,5.84,5.368849010980391
708,5.88,5.989763858255384
715,6.166,6.002217099427069
722,5.929,4.761175842706895
735,6.14,5.989763858255384
742,5.477,5.989763858255384
749,3.415,4.446179794727273
756,6.494,6.002217099427069
763,5.132,4.524089268285714
770,6.078,4.446179794727273
777,3.849,3.883260586075755
784,6.377,6.169098187488094
791,6.331,5.437173273188382
798,6.461,4.709684053057322
809,4.956,5.55052163586667
816,5.845,6.183083825703208
823,6.491,6.169098187488094
830,4.325,5.62123424214347
840,4.308,5.989763858255384
847,7.363,6.002217099427069
854,7.571,6.169098187488094
865,5.466,4.524089268285714
872,5.985,4.340244433871796
879,4.107,3.883260586075755
890,4.596,5.62123424214347
897,4.948,5.989763858255384
904,5.066,4.355737477589285
911,4.636,4.446179794727273
918,4.875,5.55052163586667
925,6.561,6.169098187488094
932,7.064,6.002217099427069
939,6.951,6.169098187488094
946,6.431,4.524089268285714
953,6.179,4.340244433871796
960,4.892,5.989763858255384
967,5.411,5.62123424214347
974,3.658,3.883260586075755
981,4.073,4.446179794727273
988,3.145,4.355737477589285
