,y_true,y_pred
6,2.523,4.43451239337784
13,5.117,3.0597514593185933
20,4.887,7.964366597165423
31,5.929,5.606054539140687
38,5.283,6.484077505274895
45,7.183,4.381430868809499
52,7.268,5.080909922214783
59,5.171,6.271609480137931
66,6.647,5.157483673650927
73,5.025,5.760851410876428
80,5.534,4.820017003001646
87,6.834,3.869016836728947
97,5.045,6.604383326776235
109,5.716,4.456611187247971
116,5.813,3.838029431612521
123,3.467,6.471844694823669
130,6.33,4.528100185678475
137,5.266,5.030287317759014
144,4.834,6.6229220682189975
151,3.775,6.284696786610036
158,4.83,5.075859427497157
165,5.142,7.2264604447555865
172,7.103,6.626934157945394
184,4.355,6.131190793815333
191,6.172,3.9759801239381027
198,5.339,5.7207280642652565
205,6.012,5.230230787393255
210,4.289,7.16758896976297
217,7.069,4.229768148101128
224,5.882,3.244681150755037
231,6.223,6.6737758819501245
238,6.965,5.461380388902354
245,7.62,6.96434053755595
253,5.545,4.8946604357794605
260,5.764,4.6887721976919705
267,4.283,7.088996089434708
274,6.061,4.227834576667324
281,6.189,5.216497274878923
288,4.275,7.384751820121652
295,7.842,5.814232781842147
302,6.69,4.350970991446597
309,4.852,7.430684474312091
312,5.051,6.931762186416737
319,4.891,6.271962624340119
326,7.155,4.685580104000387
333,5.088,7.528928801211425
340,5.723,3.3795934033253725
347,6.435,3.503361291116858
354,4.984,6.242798422035394
361,3.615,5.0489732996643735
368,5.919,5.062558632427843
379,5.992,4.761845048241245
386,7.554,5.623067044494022
393,3.819,5.5540100989907435
400,5.345,5.649812969805188
407,4.721,5.5615640811888625
414,4.854,3.903569224750086
421,7.085,5.159986150345592
428,7.157,5.963375876770241
435,6.483,2.588485894025987
442,6.309,4.782702642314013
449,5.94,5.7919621734552695
456,4.395,5.977850842858204
463,6.152,6.313411199251634
470,4.607,8.247248211428865
477,6.106,6.344505669027097
484,5.744,6.2064554295206324
491,6.032,5.392947931862098
498,4.584,6.290864933201432
504,3.512,5.681064043577778
511,4.625,6.954232850397666
518,6.255,6.187215250852311
525,7.324,5.2510104979092525
532,4.208,6.471806231504376
539,3.6,5.592712980797165
546,5.384,5.112505884691862
548,5.198,5.379567751017589
555,4.723,6.616661812895925
562,6.602,2.186881824476643
569,4.227,6.766459687697202
576,6.049,7.603146840659269
583,6.317,3.780250163311487
590,5.677,7.100796661331847
597,5.581,2.9018335408918103
604,4.918,6.46722125091016
610,4.794,7.287168850469987
617,4.426,5.684971772995303
623,4.574,6.195509884565621
630,5.269,5.957693473650128
637,7.464,4.345208726276131
644,7.277,5.517245597926756
651,5.972,6.08553109729245
658,5.074,6.925782983339683
665,4.759,6.89951342382716
672,7.392,6.312615864991832
680,4.934,6.654391185367107
687,6.18,4.5885999592076585
694,5.653,6.350819801187079
701,5.84,5.071165177907948
708,5.88,6.019662944749141
715,6.166,5.433367681945137
722,5.929,3.7206557804502753
735,6.14,5.9317556128197175
742,5.477,5.5722282120467685
749,3.415,6.439124596324396
756,6.494,6.099946287244702
763,5.132,7.048792681437915
770,6.078,4.286166282600373
777,3.849,6.44270994841695
784,6.377,5.740498963107054
791,6.331,5.337684709939837
798,6.461,3.4122337468956703
809,4.956,6.311959073647961
816,5.845,6.239043691262751
823,6.491,4.104275034323784
830,4.325,5.435062712811275
840,4.308,7.422286723231016
847,7.363,4.9877736155437535
854,7.571,5.36890481633829
865,5.466,5.860097357975048
872,5.985,6.379862384870412
879,4.107,7.0219501079080615
890,4.596,7.673161968407363
897,4.948,5.779173994204587
904,5.066,5.8458602726420015
911,4.636,7.2245007326537
918,4.875,5.714619281786181
925,6.561,5.031249662603136
932,7.064,4.771871834254782
939,6.951,6.558142506879184
946,6.431,4.983605873321099
953,6.179,5.5613507368572055
960,4.892,4.477394420566466
967,5.411,4.85304162373914
974,3.658,6.946550279254245
981,4.073,6.726482352573273
988,3.145,6.789904112754248
