,y_true,y_pred
6,2.523,4.131651751374098
13,5.117,3.894686184754284
20,4.887,7.183300439572309
31,5.929,6.723166971694601
38,5.283,6.334561435334074
45,7.183,5.4697057688534185
52,7.268,6.127780219349591
59,5.171,6.2481308322745965
66,6.647,6.545103262988443
73,5.025,6.323359480450972
80,5.534,5.2756347111919295
87,6.834,5.200676885702942
97,5.045,7.606019487556615
109,5.716,5.788705423292219
116,5.813,4.8427361189945275
123,3.467,5.193758255920103
130,6.33,5.914648702281442
137,5.266,5.034034442242494
144,4.834,7.489658695880464
151,3.775,6.87690148728859
158,4.83,5.802666818227338
165,5.142,8.077692276056768
172,7.103,6.684685584059403
184,4.355,7.0724439106271335
191,6.172,6.107994388021386
198,5.339,5.145130900147098
205,6.012,6.279709625453241
210,4.289,7.322522267132645
217,7.069,6.02111398804235
224,5.882,4.135498319691853
231,6.223,6.832077339641636
238,6.965,6.444616268321262
245,7.62,7.217279316570366
253,5.545,5.69126691752345
260,5.764,5.811584483652671
267,4.283,6.750727199683871
274,6.061,6.0012368914993575
281,6.189,6.034085282657176
288,4.275,6.951467114034521
295,7.842,7.144658540074967
302,6.69,5.625762438266585
309,4.852,7.2278554919815825
312,5.051,7.96923749102379
319,4.891,6.322873944377024
326,7.155,5.805839222171007
333,5.088,7.617481968202797
340,5.723,4.657900026923703
347,6.435,5.756931781271999
354,4.984,7.263912049085901
361,3.615,4.968195213139441
368,5.919,6.320245610700344
379,5.992,5.629321877472588
386,7.554,6.781196279581426
393,3.819,5.8964989184253165
400,5.345,5.573781633620022
407,4.721,5.403328200584997
414,4.854,5.160913264817376
421,7.085,6.045463911074361
428,7.157,7.035022041224936
435,6.483,4.179630786580909
442,6.309,6.484227222333921
449,5.94,5.565255399982798
456,4.395,5.798962838393196
463,6.152,6.594612481665177
470,4.607,7.217814407628974
477,6.106,6.902409149467913
484,5.744,6.71228141578274
491,6.032,5.922268366723353
498,4.584,6.023010836450311
504,3.512,5.795408107846749
511,4.625,7.535411416635766
518,6.255,6.466684326626388
525,7.324,6.385957124756652
532,4.208,7.30953719283788
539,3.6,6.129376948831434
546,5.384,5.326965989194844
548,5.198,5.254016095134838
555,4.723,7.608924484025969
562,6.602,3.4549986434974698
569,4.227,6.711582894570673
576,6.049,7.869111671670334
583,6.317,5.224658497002826
590,5.677,7.509506418708352
597,5.581,3.8994004467387287
604,4.918,7.03287690700901
610,4.794,7.474456591031426
617,4.426,5.315190824213922
623,4.574,6.41082131291439
630,5.269,6.798355698501732
637,7.464,5.4431034566676635
644,7.277,6.260810072965151
651,5.972,7.262323363680347
658,5.074,7.635573930906104
665,4.759,7.36512254690039
672,7.392,6.750525105747012
680,4.934,6.719027179894388
687,6.18,5.6629868155901155
694,5.653,6.331493238756528
701,5.84,6.103367673167915
708,5.88,6.882004262943458
715,6.166,5.7002081564461475
722,5.929,4.418463580305439
735,6.14,6.0855540944862385
742,5.477,5.874640151477648
749,3.415,5.658918992596838
756,6.494,6.448355644345017
763,5.132,7.793431557950237
770,6.078,5.737510503237458
777,3.849,6.937043778878899
784,6.377,6.083361521412015
791,6.331,6.087160973542818
798,6.461,4.107711522409532
809,4.956,6.494069323051105
816,5.845,5.8795101910219465
823,6.491,4.811795158790992
830,4.325,4.905420671669662
840,4.308,7.059688232644013
847,7.363,6.737454936220449
854,7.571,6.52826887416531
865,5.466,6.154609276016248
872,5.985,7.271185389309342
879,4.107,7.432412476850886
890,4.596,6.424432781210817
897,4.948,5.65919662530538
904,5.066,5.284867652413132
911,4.636,7.3582777688774055
918,4.875,5.487690228183589
925,6.561,6.070212086879308
932,7.064,5.869105230218006
939,6.951,7.128470536049532
946,6.431,6.225652795928343
953,6.179,6.103339568205091
960,4.892,5.014061180513375
967,5.411,5.650335477166469
974,3.658,6.1950058941502215
981,4.073,6.565378975483992
988,3.145,6.146442310335065
