,y_true,y_pred
6,2.523,5.777864850335455
13,5.117,6.145478989841112
20,4.887,6.134553237296473
31,5.929,5.734372903381862
38,5.283,6.143104158002862
45,7.183,6.212744781451001
52,7.268,6.3985875959299765
59,5.171,6.117918686509738
66,6.647,6.29872136527127
73,5.025,5.911062026305762
80,5.534,6.036246398044737
87,6.834,6.39261453403377
97,5.045,5.884651017680366
109,5.716,5.874356190333016
116,5.813,6.1194299431340795
123,3.467,5.821513630579338
130,6.33,6.118494403319011
137,5.266,6.274290137960731
144,4.834,5.790638118382704
151,3.775,5.926661293321496
158,4.83,5.904297353796805
165,5.142,5.810240434666532
172,7.103,6.389232197779291
184,4.355,5.76547141504141
191,6.172,6.257808549390419
198,5.339,6.1631200897520095
205,6.012,6.117055111295829
210,4.289,5.8020449563249175
217,7.069,6.038189442276034
224,5.882,6.333955260216365
231,6.223,6.100357162153914
238,6.965,5.891903700775394
245,7.62,6.400530640161272
253,5.545,5.891284769037462
260,5.764,6.084125074507176
267,4.283,6.174689488111941
274,6.061,6.297743205836101
281,6.189,5.9269783811573085
288,4.275,5.7777928857342955
295,7.842,6.389160233178132
302,6.69,6.161063802897844
309,4.852,6.120365482949149
312,5.051,5.738143546311651
319,4.891,6.119070120128284
326,7.155,6.396212764091725
333,5.088,5.8395565301336365
340,5.723,6.284562730056363
347,6.435,6.297671241234941
354,4.984,5.784980859659683
361,3.615,5.77360341497239
368,5.919,5.932874170065993
379,5.992,5.8894459482201515
386,7.554,6.396572587097522
393,3.819,6.2131848389327455
400,5.345,6.137528981695167
407,4.721,6.118998155527125
414,4.854,6.255031417225549
421,7.085,6.3328153383325505
428,7.157,6.100285197552754
435,6.483,6.082757632742542
442,6.309,6.2703271803538385
449,5.94,5.988554337033197
456,4.395,6.270039321949202
463,6.152,6.226798857632747
470,4.607,5.904369318397964
477,6.106,6.214256038075342
484,5.744,5.868804437984441
491,6.032,5.885510845506873
498,4.584,5.74257810423307
504,3.512,5.712742340898403
511,4.625,5.760485824673207
518,6.255,5.8284250943590195
525,7.324,6.451913365388881
532,4.208,5.767774282278502
539,3.6,5.949905859495891
546,5.384,6.187637259519194
548,5.198,5.936564373474244
555,4.723,5.85996715948279
562,6.602,6.299081188277065
569,4.227,5.869092296389077
576,6.049,6.273714421151459
583,6.317,6.0366781856516925
590,5.677,6.1761809702403525
597,5.581,5.732789682156362
604,4.918,5.984232306403991
610,4.794,5.964298779727713
617,4.426,5.869020331787918
623,4.574,6.268528065324861
630,5.269,5.887025849518617
637,7.464,6.400458675560113
644,7.277,6.296850285641133
651,5.972,5.842435114180001
658,5.074,5.959980903658167
665,4.759,5.7589612725142825
672,7.392,6.312017568597566
680,4.934,5.911349884710399
687,6.18,5.888870231410879
694,5.653,5.950526344199471
701,5.84,6.048194664280321
708,5.88,6.299326427061601
715,6.166,6.308698697686447
722,5.929,6.077122291503115
735,6.14,6.284922553062159
742,5.477,6.266300372327195
749,3.415,5.790494189180386
756,6.494,6.38685736594104
763,5.132,5.8868819203162985
770,6.078,5.821873453585134
777,3.849,5.770508937122548
784,6.377,6.343322170101782
791,6.331,5.890237558832903
798,6.461,5.830584032393793
809,4.956,6.176396864043831
816,5.845,6.297426002450406
823,6.491,6.099997339148118
830,4.325,6.130636604787705
840,4.308,6.29853481644885
847,7.363,6.395780976484771
854,7.571,6.31662330307175
865,5.466,5.884938876085003
872,5.985,5.891500662840938
879,4.107,5.765327485839092
890,4.596,6.25208986404671
897,4.948,6.187781188721512
904,5.066,5.742793998036548
911,4.636,5.790566153781545
918,4.875,6.272672159181239
925,6.561,6.314320435834658
932,7.064,6.161279696701321
939,6.951,6.309858630562793
946,6.431,5.734660761786499
953,6.179,5.8003950573979335
960,4.892,6.299110533258123
967,5.411,6.11606041883087
974,3.658,5.690235078407327
981,4.073,5.728502588552249
988,3.145,5.713965739118108
