,y_true,y_pred
6,2.523,6.36004799163147
13,5.117,6.27749803273215
20,4.887,6.964306014728343
31,5.929,6.859140983758749
38,5.283,6.861040995744215
45,7.183,6.433552024286814
52,7.268,5.888027027964636
59,5.171,6.816585003246168
66,6.647,6.859508999779999
73,5.025,6.7927329763863575
80,5.534,5.973493029781381
87,6.834,5.890837033000037
97,5.045,6.303514948982036
109,5.716,6.265264992254441
116,5.813,6.208576033672339
123,3.467,6.974435990787156
130,6.33,6.847678990305014
137,5.266,6.3844440352444485
144,4.834,6.8882309880222685
151,3.775,6.867012993498625
158,4.83,6.890218983278337
165,5.142,6.946331982577123
172,7.103,6.8004060015169046
184,4.355,6.911810989349712
191,6.172,6.839738988917315
198,5.339,6.881405996740831
205,6.012,6.901292972695175
210,4.289,6.940464987631915
217,7.069,6.764857987580862
224,5.882,6.295985035040807
231,6.223,6.903481990830895
238,6.965,5.9616720234426905
245,7.62,6.414435030280072
253,5.545,6.8271289964839275
260,5.764,6.654501014000549
267,4.283,6.676602989138498
274,6.061,6.265264992254441
281,6.189,6.446786037140422
288,4.275,6.3317919929644075
295,7.842,5.890837033000037
302,6.69,5.890837033000037
309,4.852,6.953624998125239
312,5.051,6.580697989719584
319,4.891,6.835026997335302
326,7.155,5.890837033000037
333,5.088,7.042138975269742
340,5.723,6.227649059670139
347,6.435,6.265264992254441
354,4.984,6.426709947643442
361,3.615,6.728467976590735
368,5.919,6.782317974110734
379,5.992,6.347662054271321
386,7.554,5.850886030557991
393,3.819,6.761806008163034
400,5.345,6.803272990021275
407,4.721,6.824743002660352
414,4.854,6.8518619937624585
421,7.085,6.302446033178187
428,7.157,6.918095995420508
435,6.483,6.217869039207387
442,6.309,6.640373026139082
449,5.94,6.85548799002016
456,4.395,6.884708991087571
463,6.152,6.7475420034854
470,4.607,6.987925987834313
477,6.106,6.933196994899679
484,5.744,6.739484990194954
491,6.032,6.350589041375856
498,4.584,6.890223991573769
504,3.512,6.854510989169265
511,4.625,6.911810989349712
518,6.255,6.420085033670996
525,7.324,6.191978043139657
532,4.208,6.852674995269712
539,3.6,6.824972995258625
546,5.384,6.84477198954316
548,5.198,6.861440990536071
555,4.723,6.7904669715512105
562,6.602,6.183718036698185
569,4.227,6.8736179835762945
576,6.049,6.973394989870159
583,6.317,6.429523974972649
590,5.677,6.852181994276805
597,5.581,6.261862034185407
604,4.918,6.843107992789234
610,4.794,6.867012993498625
617,4.426,6.686571989217123
623,4.574,6.990185991132332
630,5.269,6.261582992434439
637,7.464,5.890837033000037
644,7.277,6.443971026707516
651,5.972,6.737795980224153
658,5.074,6.867012993498625
665,4.759,6.9683209863738025
672,7.392,6.302446033178187
680,4.934,6.903426985598337
687,6.18,6.859253993807315
694,5.653,6.7221659811993595
701,5.84,6.833026945556892
708,5.88,6.933164007337574
715,6.166,6.420911022860457
722,5.929,6.322281034017194
735,6.14,6.399435037332564
742,5.477,6.24679904289921
749,3.415,6.882458989392267
756,6.494,6.734346988314153
763,5.132,6.383088992414408
770,6.078,6.063772036287674
777,3.849,6.826089003460801
784,6.377,6.933429993606739
791,6.331,6.435187030976141
798,6.461,6.367073032984287
809,4.956,6.463623994242585
816,5.845,6.810191988006391
823,6.491,6.389422032429048
830,4.325,6.27762699401444
840,4.308,6.9798769908842475
847,7.363,5.890837033000037
854,7.571,6.302446033178187
865,5.466,6.261582992434439
872,5.985,6.836180985769775
879,4.107,6.832863991463419
890,4.596,6.993976000218624
897,4.948,6.839807002380126
904,5.066,6.883883995006356
911,4.636,6.8882309880222685
918,4.875,6.332385019183459
925,6.561,6.7187839882441525
932,7.064,5.791127026286171
939,6.951,6.841159992482303
946,6.431,6.8354849921076655
953,6.179,6.62672599320412
960,4.892,6.725489979649359
967,5.411,6.859385985496483
974,3.658,6.698795987330925
981,4.073,6.869766988009266
988,3.145,6.667759024836399
