,y_true,y_pred
6,2.523,4.460515995846962
13,5.117,5.866255981449999
20,4.887,6.069328989980128
31,5.929,6.3146689936300655
38,5.283,5.946295980056708
45,7.183,7.118750982404184
52,7.268,7.074908983781535
59,5.171,5.48292800877853
66,6.647,6.597201994160003
73,5.025,5.931703966371948
80,5.534,6.3044229952627475
87,6.834,6.728065001029877
97,5.045,5.908123978225239
109,5.716,6.144700001512555
116,5.813,6.295794997766644
123,3.467,4.612790023092394
130,6.33,6.432132995201117
137,5.266,5.648733006925877
144,4.834,5.966885980702618
151,3.775,5.989549981593962
158,4.83,5.847702978945397
165,5.142,6.080092985822874
172,7.103,6.962325988260893
184,4.355,6.012234984376932
191,6.172,6.367817999294471
198,5.339,5.512120019211214
205,6.012,6.290048004074407
210,4.289,5.896837969801885
217,7.069,6.4554849979999345
224,5.882,6.366900003984279
231,6.223,6.125609973894054
238,6.965,6.7849419791249534
245,7.62,7.188084990530768
253,5.545,6.173579011194214
260,5.764,6.041039984371118
267,4.283,4.95552900985195
274,6.061,6.0181979964800005
281,6.189,6.696328971429202
288,4.275,5.805975969822843
295,7.842,7.123689987566616
302,6.69,6.8770219951269995
309,4.852,5.828471978758146
312,5.051,6.312024978484758
319,4.891,5.952250991574473
326,7.155,6.81779399897703
333,5.088,5.964286976680001
340,5.723,6.150575004996648
347,6.435,6.1481059977237384
354,4.984,5.997027983113514
361,3.615,5.992438973321597
368,5.919,6.1136249907410525
379,5.992,6.5885100038135445
386,7.554,7.070190970911537
393,3.819,4.579633013065592
400,5.345,5.968254008090514
407,4.721,5.143396999978976
414,4.854,5.928665977968113
421,7.085,7.080981988653833
428,7.157,6.887067983108307
435,6.483,6.550298998099939
442,6.309,6.33397000198447
449,5.94,6.436754993336713
456,4.395,4.970629042596489
463,6.152,6.674738004513546
470,4.607,6.199311967812618
477,6.106,6.413179996320005
484,5.744,6.45460698331783
491,6.032,6.535085992324505
498,4.584,5.37833300535246
504,3.512,4.550465013219805
511,4.625,6.005966988616932
518,6.255,6.720333987444092
525,7.324,6.900616001117031
532,4.208,5.953874975692586
539,3.6,5.754610972201949
546,5.384,5.233236027438019
548,5.198,5.533459015656997
555,4.723,5.989696965480002
562,6.602,6.87375396170195
569,4.227,5.775861978176708
576,6.049,6.410689981994441
583,6.317,6.201162006466642
590,5.677,6.60607099937115
597,5.581,6.253348994108559
604,4.918,5.910148998549042
610,4.794,5.978565990299328
617,4.426,4.633433006774629
623,4.574,6.048960981082649
630,5.269,6.089843979460097
637,7.464,7.172479989207858
644,7.277,7.130236985129744
651,5.972,6.409178008449937
658,5.074,6.027267977353643
665,4.759,5.936127968802619
672,7.392,7.163208000404027
680,4.934,5.900837967489266
687,6.18,6.305776002079266
694,5.653,6.2709260035348855
701,5.84,6.027901982791119
708,5.88,6.134699996139938
715,6.166,6.452147995573354
722,5.929,6.3574600079067105
735,6.14,6.24533600209658
742,5.477,6.276059983820188
749,3.415,4.1278150170152035
756,6.494,6.5844169972900035
763,5.132,6.0043859785928735
770,6.078,6.339936016690927
777,3.849,5.846602965848465
784,6.377,5.639675021002079
791,6.331,6.662478993073388
798,6.461,6.785911974106837
809,4.956,6.130349984330156
816,5.845,6.111248966604056
823,6.491,6.773590987363706
830,4.325,4.8780350307173475
840,4.308,5.8916139823791704
847,7.363,7.119649987203802
854,7.571,7.151114994361152
865,5.466,6.3397160095082095
872,5.985,6.74047198227786
879,4.107,5.966257984833578
890,4.596,5.8744339914250805
897,4.948,4.856763025026675
904,5.066,6.018828003228532
911,4.636,5.9780559636526185
918,4.875,5.566340017515687
925,6.561,6.481031004460002
932,7.064,7.339144985681816
939,6.951,6.753404001614061
946,6.431,6.500701990785975
953,6.179,7.006969977804647
960,4.892,6.226751991245268
967,5.411,6.214076976223415
974,3.658,4.679921031392395
981,4.073,5.145461003761243
988,3.145,4.288693016582839
