,y_true,y_pred
6,2.523,4.060926985209998
13,5.117,4.395684969080002
20,4.887,5.46173497159
31,5.929,4.607999996480003
38,5.283,4.395684969080002
45,7.183,4.868771981420002
52,7.268,5.830732945650001
59,5.171,4.979405975630002
66,6.647,5.775803971570002
73,5.025,4.16563700523
80,5.534,4.591076977200001
87,6.834,5.8301789467
97,5.045,4.07263400881
109,5.716,4.368123068757793
116,5.813,4.979405975630002
123,3.467,4.427908005070003
130,6.33,4.979405975630002
137,5.266,5.260158995460002
144,4.834,3.9701040191477914
151,3.775,5.1488639686115345
158,4.83,4.16563700523
165,5.142,4.480285997237795
172,7.103,5.8301789467
184,4.355,3.7862190506477975
191,6.172,5.289529994400001
198,5.339,4.2556969594100025
205,6.012,4.979405975630002
210,4.289,4.29198496529
217,7.069,4.591076977200001
224,5.882,5.35045699205
231,6.223,5.381102989970003
238,6.965,4.7208329773600015
245,7.62,5.830732945650001
253,5.545,4.390923993690001
260,5.764,5.443697964190001
267,4.283,4.972569967200002
274,6.061,5.754019936801534
281,6.189,4.812783991640002
288,4.275,4.060926985209998
295,7.842,5.8301789467
302,6.69,5.445602988070002
309,4.852,4.979405975630002
312,5.051,3.9426820200099972
319,4.891,4.979405975630002
326,7.155,5.8301789467
333,5.088,4.902839006134824
340,5.723,5.561683984060003
347,6.435,5.781806935551533
354,4.984,4.164747996177793
361,3.615,3.166262028197792
368,5.919,4.83641400559559
379,5.992,5.07331202755703
386,7.554,5.830732945650001
393,3.819,5.8546588981899985
400,5.345,5.353421977270001
407,4.721,4.979405975630002
414,4.854,5.503907943510001
421,7.085,5.706884984590002
428,7.157,5.381102989970003
435,6.483,5.418491000127033
442,6.309,5.746642938411531
449,5.94,5.371104002087032
456,4.395,5.746642938411531
463,6.152,5.32779699616
470,4.607,4.16563700523
477,6.106,4.868771981420002
484,5.744,4.818996017495591
491,6.032,4.888906030147029
498,4.584,4.3617219941700025
504,3.512,3.980456016169998
511,4.625,4.745202010034827
518,6.255,4.8142619840400025
525,7.324,5.8363689462799995
532,4.208,3.7796210501277976
539,3.6,5.1488639686115345
546,5.384,5.174377002970002
548,5.198,4.523181007620002
555,4.723,3.7474190100999967
562,6.602,5.775803971570002
569,4.227,4.818996017495591
576,6.049,5.260158995460002
583,6.317,4.591076977200001
590,5.677,5.068050949590001
597,5.581,4.607999996480003
604,4.918,4.386323996280002
610,4.794,5.1488639686115345
617,4.426,4.818996017495591
623,4.574,5.746642938411531
630,5.269,4.08110600798
637,7.464,5.830732945650001
644,7.277,5.775803971570002
651,5.972,4.905883005814824
658,5.074,5.1488639686115345
665,4.759,4.1324869967
672,7.392,5.706884984590002
680,4.934,4.16563700523
687,6.18,5.07331202755703
694,5.653,4.896262999270001
701,5.84,4.920799997540001
708,5.88,5.734713939901534
715,6.166,5.633454983499999
722,5.929,4.890016963410001
735,6.14,5.561683984060003
742,5.477,5.31496199455
749,3.415,3.9701040191477914
756,6.494,5.821080950950001
763,5.132,4.08110600798
770,6.078,4.427908005070003
777,3.849,3.2287190317677914
784,6.377,5.706884984590002
791,6.331,5.07681902657703
798,6.461,4.8358099834200035
809,4.956,5.068050949590001
816,5.845,5.775803971570002
823,6.491,5.381102989970003
830,4.325,4.975553967510002
840,4.308,5.754019936801534
847,7.363,5.8301789467
854,7.571,5.706884984590002
865,5.466,4.08110600798
872,5.985,4.390923993690001
879,4.107,3.7862190506477975
890,4.596,5.5133009614900015
897,4.948,5.174377002970002
904,5.066,4.3617219941700025
911,4.636,3.9701040191477914
918,4.875,5.108997952939999
925,6.561,5.706884984590002
932,7.064,5.445602988070002
939,6.951,5.706884984590002
946,6.431,4.607999996480003
953,6.179,4.32877901095
960,4.892,5.734713939901534
967,5.411,5.657308952721533
974,3.658,3.5595390091599977
981,4.073,4.231603012169999
988,3.145,3.980456016169998
